epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,632.11,1.12946,0.55139,0.89694,0.99885,1,0.995,0.67007,1.16706,0.54893,0.89165,0.000957358,0.000957358,0.000957358
45,648.296,1.14304,0.55287,0.90562,0.99904,1,0.995,0.70975,1.03139,0.52701,0.87449,0.000940855,0.000940855,0.000940855
46,664.265,1.14275,0.5426,0.92013,0.9991,1,0.995,0.69222,1.0494,0.5337,0.87283,0.000924352,0.000924352,0.000924352
47,679.766,1.13435,0.55808,0.90321,0.9991,1,0.995,0.70524,1.03458,0.52044,0.86728,0.000907848,0.000907848,0.000907848
48,38986.4,1.13843,0.55239,0.90948,0.99947,1,0.995,0.71078,1.07153,0.52118,0.8806,0.000891345,0.000891345,0.000891345
49,38999.8,1.17906,0.55578,0.93924,0.99938,1,0.995,0.68823,1.09595,0.54194,0.87559,0.000874842,0.000874842,0.000874842
50,39012.2,1.16164,0.54918,0.91275,0.99936,1,0.995,0.68617,1.08393,0.53307,0.87265,0.000858338,0.000858338,0.000858338
51,39025.1,1.14822,0.54203,0.91822,0.99929,1,0.995,0.65213,1.18445,0.55278,0.89114,0.000841835,0.000841835,0.000841835
52,39038.9,1.10836,0.52257,0.89567,0.99935,1,0.995,0.71459,1.04122,0.50951,0.87124,0.000825332,0.000825332,0.000825332
53,39052.9,1.1103,0.53069,0.89874,0.99927,1,0.995,0.70837,1.02457,0.50603,0.87208,0.000808828,0.000808828,0.000808828
54,39066.8,1.12667,0.53161,0.88659,0.99902,1,0.995,0.70544,1.07279,0.51797,0.87178,0.000792325,0.000792325,0.000792325
55,39081.4,1.1042,0.51902,0.89071,0.99915,1,0.995,0.69702,1.09024,0.52864,0.87485,0.000775822,0.000775822,0.000775822
56,39095.2,1.20757,0.54713,0.90672,0.99923,1,0.995,0.67086,1.12982,0.53029,0.892,0.000759318,0.000759318,0.000759318
57,39109.9,1.12798,0.54367,0.90223,0.99943,1,0.995,0.69386,1.13736,0.514,0.88523,0.000742815,0.000742815,0.000742815
58,39123.8,1.13038,0.52518,0.90573,0.99939,1,0.995,0.70666,1.03213,0.50884,0.88021,0.000726312,0.000726312,0.000726312
59,39136.7,1.14776,0.54395,0.89001,0.99942,1,0.995,0.68641,1.0898,0.52806,0.88184,0.000709809,0.000709809,0.000709809
60,39150,1.0912,0.51357,0.88947,0.9994,1,0.995,0.68555,1.11791,0.52233,0.87734,0.000693305,0.000693305,0.000693305
61,39163.1,1.11233,0.51301,0.90614,0.99937,1,0.995,0.70641,1.02915,0.49264,0.86562,0.000676802,0.000676802,0.000676802
62,39176.6,1.0921,0.50107,0.8837,0.99941,1,0.995,0.7019,1.0339,0.48271,0.86865,0.000660299,0.000660299,0.000660299
63,39189.8,1.12167,0.50656,0.89875,0.99936,1,0.995,0.70193,1.06044,0.48913,0.87102,0.000643795,0.000643795,0.000643795
64,39202.9,1.08054,0.49648,0.87203,0.99944,1,0.995,0.69575,1.05799,0.5121,0.88006,0.000627292,0.000627292,0.000627292
65,39216.1,1.05536,0.49822,0.88749,0.99933,1,0.995,0.72465,0.99482,0.48955,0.86464,0.000610789,0.000610789,0.000610789
66,39229.2,1.06889,0.49871,0.8892,0.99915,1,0.995,0.71498,1.03716,0.47888,0.8674,0.000594286,0.000594286,0.000594286
67,39242.2,1.0808,0.50815,0.87465,0.99935,1,0.995,0.71502,1.03468,0.48009,0.86692,0.000577782,0.000577782,0.000577782
68,39255.2,1.07242,0.50297,0.89215,0.99941,1,0.995,0.7211,1.02144,0.48018,0.86629,0.000561279,0.000561279,0.000561279
69,39268.2,1.08296,0.49436,0.8926,0.99947,1,0.995,0.71453,1.03221,0.47818,0.86639,0.000544776,0.000544776,0.000544776
70,39281.8,1.08399,0.49397,0.89382,0.99947,1,0.995,0.6678,1.16527,0.51302,0.88725,0.000528272,0.000528272,0.000528272
71,39295.2,1.08453,0.49867,0.89292,0.99943,1,0.995,0.70329,1.0779,0.4814,0.88069,0.000511769,0.000511769,0.000511769
72,39308.4,1.06462,0.49809,0.88017,0.99939,1,0.995,0.72085,1.05513,0.48217,0.87201,0.000495266,0.000495266,0.000495266
73,39322.4,1.09459,0.49617,0.89019,0.99942,1,0.995,0.68059,1.14587,0.511,0.88934,0.000478762,0.000478762,0.000478762
74,39337.3,1.07485,0.48907,0.87798,0.99945,1,0.995,0.68832,1.1347,0.50517,0.89301,0.000462259,0.000462259,0.000462259
75,39352.3,1.06348,0.48586,0.8854,0.99938,1,0.995,0.71826,1.0486,0.46617,0.87372,0.000445756,0.000445756,0.000445756
76,39366,1.04126,0.48402,0.87837,0.99939,1,0.995,0.71037,1.04489,0.46563,0.8679,0.000429253,0.000429253,0.000429253
77,39379.3,1.06596,0.48117,0.89139,0.99937,1,0.995,0.69492,1.06547,0.47098,0.86831,0.000412749,0.000412749,0.000412749
78,39392.7,1.08604,0.48317,0.90368,0.99939,1,0.995,0.72158,1.03484,0.4657,0.86426,0.000396246,0.000396246,0.000396246
79,39406.2,1.07514,0.48751,0.89359,0.99942,1,0.995,0.7307,0.97751,0.45873,0.86197,0.000379743,0.000379743,0.000379743
80,39419.7,1.06874,0.48632,0.89364,0.99934,1,0.995,0.71733,1.0084,0.46174,0.86695,0.000363239,0.000363239,0.000363239
81,39433.4,1.04172,0.47836,0.86781,0.99936,1,0.995,0.7286,1.00876,0.45778,0.86229,0.000346736,0.000346736,0.000346736
82,39447,1.03178,0.47337,0.87284,0.99937,1,0.995,0.72366,0.99608,0.4562,0.85911,0.000330233,0.000330233,0.000330233
83,39460.8,1.03667,0.47662,0.8855,0.99939,1,0.995,0.71808,1.01218,0.45879,0.85966,0.000313729,0.000313729,0.000313729
84,39474.3,1.05862,0.4861,0.89611,0.99937,1,0.995,0.72208,1.02085,0.45756,0.86294,0.000297226,0.000297226,0.000297226
85,39488.2,1.0584,0.47978,0.88353,0.99941,1,0.995,0.72912,0.99452,0.44667,0.86171,0.000280723,0.000280723,0.000280723
86,39501.9,1.04672,0.47574,0.88658,0.99946,1,0.995,0.72825,1.00354,0.45452,0.86098,0.00026422,0.00026422,0.00026422
87,39515.6,1.04315,0.47771,0.87979,0.99945,1,0.995,0.70784,1.04511,0.46967,0.86709,0.000247716,0.000247716,0.000247716
88,39529.5,1.04688,0.46805,0.8847,0.99936,1,0.995,0.70602,1.06579,0.46456,0.87722,0.000231213,0.000231213,0.000231213
89,39543.2,0.99643,0.46283,0.86808,0.9993,1,0.995,0.72211,1.03546,0.45603,0.87441,0.00021471,0.00021471,0.00021471
90,39557.3,1.02296,0.46197,0.88809,0.99922,1,0.995,0.72273,1.02914,0.4485,0.87208,0.000198206,0.000198206,0.000198206
91,39571.3,1.01611,0.45392,0.91479,0.99929,1,0.995,0.72307,1.0214,0.45121,0.86942,0.000181703,0.000181703,0.000181703
92,39584.9,1.00504,0.45639,0.89547,0.99936,1,0.995,0.72383,1.00848,0.44735,0.86497,0.0001652,0.0001652,0.0001652
93,39598.3,0.99381,0.44303,0.89385,0.99944,1,0.995,0.71845,1.00956,0.44767,0.86439,0.000148696,0.000148696,0.000148696
94,39611.8,1.0028,0.43471,0.904,0.99945,1,0.995,0.71774,1.00425,0.44581,0.86357,0.000132193,0.000132193,0.000132193
95,39625.4,1.01575,0.4456,0.91013,0.99943,1,0.995,0.71497,1.01789,0.45088,0.8648,0.00011569,0.00011569,0.00011569
96,39639.2,1.01254,0.44072,0.90144,0.99936,1,0.995,0.71224,1.02605,0.45166,0.86606,9.91865e-05,9.91865e-05,9.91865e-05
97,39652.8,1.00283,0.44025,0.90171,0.99937,1,0.995,0.71554,1.02365,0.45262,0.86511,8.26832e-05,8.26832e-05,8.26832e-05
98,39666.7,0.99358,0.44079,0.90652,0.99939,1,0.995,0.71715,1.03472,0.45146,0.86704,6.61799e-05,6.61799e-05,6.61799e-05
99,39679.9,0.99695,0.44473,0.89272,0.99943,1,0.995,0.71722,1.04281,0.45146,0.86984,4.96766e-05,4.96766e-05,4.96766e-05
100,40329.7,0.99335,0.43765,0.88979,0.99944,1,0.995,0.71724,1.03718,0.44963,0.86963,3.31733e-05,3.31733e-05,3.31733e-05
