epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.177,1.32105,2.79417,0.98385,0.99278,0.15279,0.37664,0.22645,1.01998,2.83766,0.89677,0.00031673,0.00031673,0.00031673
2,65.5767,1.17084,1.196,0.94305,0.99597,0.13781,0.34572,0.23574,1.12647,2.62583,0.98121,0.000643694,0.000643694,0.000643694
3,97.9474,1.14524,0.98217,0.93906,0.99356,0.17155,0.35014,0.27734,0.90285,2.48695,0.90707,0.000964056,0.000964056,0.000964056
4,131.338,1.10771,0.97213,0.93069,0.98806,0.13715,0.48318,0.34376,1.01846,2.38805,0.93767,0.00127782,0.00127782,0.00127782
5,165.045,1.11301,0.87804,0.92667,0.99507,0.44923,0.49494,0.34801,1.06774,1.72719,0.97597,0.00158498,0.00158498,0.00158498
6,198.452,1.10519,0.84764,0.92966,0.97727,0.49331,0.49232,0.38679,0.85194,1.02177,0.89423,0.00158448,0.00158448,0.00158448
7,231.668,1.12284,0.84667,0.91492,0.9446,0.49776,0.48043,0.37837,0.83639,0.9369,0.90003,0.00156798,0.00156798,0.00156798
8,264.28,1.0414,0.77844,0.90778,0.94791,0.49888,0.55895,0.41812,0.81485,0.75876,0.88282,0.00155148,0.00155148,0.00155148
9,298.17,1.03033,0.72618,0.91407,0.9805,0.56718,0.61455,0.42164,0.82879,0.77926,0.8948,0.00153497,0.00153497,0.00153497
10,331.847,1.0207,0.71669,0.90904,0.70068,0.62388,0.59216,0.42175,0.78056,0.6955,0.88925,0.00151847,0.00151847,0.00151847
11,365.011,0.98493,0.68415,0.88424,0.79765,0.63804,0.63905,0.43,0.83447,0.71438,0.90222,0.00150197,0.00150197,0.00150197
12,398.582,0.96677,0.647,0.89326,0.75608,0.63704,0.62896,0.4484,0.74312,0.62176,0.87702,0.00148546,0.00148546,0.00148546
13,432.479,1.01651,0.64329,0.90454,0.88539,0.61618,0.64484,0.44114,0.79854,0.60665,0.89246,0.00146896,0.00146896,0.00146896
14,467.171,0.96981,0.64604,0.88678,0.75048,0.68967,0.68084,0.41981,0.95425,0.66463,0.93305,0.00145246,0.00145246,0.00145246
15,504.239,0.96089,0.6359,0.90128,0.96164,0.63626,0.65011,0.44173,0.8042,0.61907,0.88743,0.00143595,0.00143595,0.00143595
16,538.599,1.00274,0.62071,0.89513,0.84209,0.63498,0.65291,0.46293,0.78495,0.59629,0.88225,0.00141945,0.00141945,0.00141945
17,570.656,0.99417,0.61479,0.88592,0.88469,0.64465,0.65174,0.46032,0.73452,0.59494,0.86664,0.00140295,0.00140295,0.00140295
18,602.444,0.95356,0.60149,0.88595,0.78681,0.6623,0.65754,0.46268,0.73821,0.53777,0.8667,0.00138644,0.00138644,0.00138644
19,634.349,0.94719,0.57429,0.88826,0.91965,0.70283,0.69956,0.46452,0.82983,0.58208,0.8799,0.00136994,0.00136994,0.00136994
20,666.103,1.00915,0.60995,0.90363,0.83564,0.63046,0.62801,0.45408,0.78858,0.56891,0.87814,0.00135344,0.00135344,0.00135344
21,698.638,0.96209,0.6007,0.89466,0.83317,0.66993,0.68039,0.47048,0.75049,0.57027,0.8782,0.00133693,0.00133693,0.00133693
22,730.907,0.91383,0.5541,0.87778,0.86086,0.70283,0.68719,0.46904,0.70813,0.52756,0.8619,0.00132043,0.00132043,0.00132043
23,763.557,0.9297,0.55293,0.88926,0.85647,0.67763,0.69405,0.46697,0.76604,0.55569,0.86757,0.00130393,0.00130393,0.00130393
24,796.803,0.92861,0.54205,0.87502,0.83051,0.68967,0.6743,0.47167,0.72658,0.52727,0.8668,0.00128742,0.00128742,0.00128742
25,830.271,0.9286,0.53036,0.87267,0.91806,0.6961,0.69733,0.48261,0.72964,0.47732,0.86241,0.00127092,0.00127092,0.00127092
26,1157.79,0.94761,0.52146,0.8812,0.91832,0.70829,0.70484,0.47189,0.76755,0.47792,0.87302,0.00125442,0.00125442,0.00125442
27,1189.22,0.87151,0.50726,0.86498,0.87791,0.68309,0.66995,0.48461,0.69694,0.45928,0.85967,0.00123791,0.00123791,0.00123791
28,1221.28,0.90526,0.50327,0.87491,0.86473,0.72257,0.71374,0.49503,0.71086,0.45541,0.86057,0.00122141,0.00122141,0.00122141
29,1253.57,0.91842,0.5093,0.87628,0.8858,0.68967,0.69686,0.48571,0.73502,0.45812,0.87091,0.00120491,0.00120491,0.00120491
30,1290.18,0.88047,0.49457,0.88094,0.77215,0.68197,0.65586,0.45074,0.76553,0.45674,0.87539,0.0011884,0.0011884,0.0011884
31,1327.99,0.90532,0.49011,0.87625,0.87223,0.70389,0.71641,0.46864,0.78875,0.46933,0.8774,0.0011719,0.0011719,0.0011719
32,1364.29,0.84827,0.47789,0.86657,0.74657,0.67651,0.65267,0.44143,0.83922,0.47023,0.88774,0.0011554,0.0011554,0.0011554
33,1402.06,0.90283,0.48768,0.88012,0.89445,0.68309,0.71349,0.47496,0.73801,0.4398,0.86243,0.00113889,0.00113889,0.00113889
34,1439.89,0.87167,0.46174,0.87182,0.93037,0.68296,0.7121,0.49168,0.71501,0.43738,0.8613,0.00112239,0.00112239,0.00112239
35,1477.56,0.89815,0.47728,0.86757,0.89044,0.72683,0.72467,0.49147,0.70622,0.41476,0.85608,0.00110589,0.00110589,0.00110589
36,1516.91,0.85263,0.46358,0.86516,0.92319,0.74888,0.73629,0.49666,0.67656,0.41537,0.84871,0.00108938,0.00108938,0.00108938
37,1555.24,0.86688,0.4593,0.86785,0.91541,0.73572,0.73313,0.49449,0.7112,0.43108,0.85667,0.00107288,0.00107288,0.00107288
38,1589.21,0.89451,0.47352,0.86883,0.91817,0.72914,0.72781,0.49068,0.7661,0.42307,0.87031,0.00105638,0.00105638,0.00105638
39,1623.24,0.87961,0.45993,0.86917,0.86311,0.74342,0.73995,0.50281,0.72347,0.42252,0.85801,0.00103987,0.00103987,0.00103987
40,1656.84,0.91046,0.47016,0.87537,0.90156,0.73684,0.71594,0.49733,0.72347,0.41719,0.8559,0.00102337,0.00102337,0.00102337
41,1691.36,0.88565,0.45966,0.87299,0.82181,0.71385,0.68415,0.47479,0.70776,0.41588,0.85832,0.00100687,0.00100687,0.00100687
42,1725,0.87388,0.45637,0.86266,0.91975,0.71599,0.7204,0.48251,0.72853,0.42444,0.86091,0.000990365,0.000990365,0.000990365
43,1758.98,0.86102,0.4586,0.86488,0.88025,0.73,0.73954,0.50993,0.69625,0.39623,0.85179,0.000973861,0.000973861,0.000973861
44,1792.69,0.86588,0.44686,0.86895,0.90566,0.7423,0.73617,0.50053,0.7204,0.40809,0.85673,0.000957358,0.000957358,0.000957358
45,1826.44,0.85331,0.44138,0.85839,0.8945,0.71326,0.70506,0.49204,0.69822,0.41076,0.85418,0.000940855,0.000940855,0.000940855
46,1860.13,0.84474,0.43705,0.85275,0.87749,0.7159,0.70676,0.49909,0.68381,0.40597,0.85261,0.000924352,0.000924352,0.000924352
47,1894.63,0.8538,0.44199,0.85585,0.87276,0.69625,0.68532,0.48177,0.72121,0.40512,0.85896,0.000907848,0.000907848,0.000907848
48,1928.21,0.85585,0.44317,0.867,0.83609,0.70941,0.68437,0.48621,0.70725,0.39785,0.85551,0.000891345,0.000891345,0.000891345
49,1961.86,0.84213,0.43379,0.85734,0.8859,0.73026,0.72486,0.49894,0.71629,0.41049,0.85612,0.000874842,0.000874842,0.000874842
50,1995.53,0.83795,0.43773,0.86572,0.87324,0.73572,0.71332,0.50089,0.68494,0.38564,0.85043,0.000858338,0.000858338,0.000858338
51,2029.99,0.85239,0.43653,0.86143,0.86605,0.72919,0.69111,0.493,0.69714,0.39779,0.85314,0.000841835,0.000841835,0.000841835
52,2066.63,0.83649,0.42857,0.86527,0.91767,0.75546,0.7519,0.50306,0.70834,0.40153,0.85513,0.000825332,0.000825332,0.000825332
53,2101.27,0.86334,0.43508,0.86284,0.88494,0.71599,0.70522,0.49418,0.69671,0.3966,0.85131,0.000808828,0.000808828,0.000808828
54,2134.89,0.81604,0.42135,0.85993,0.90163,0.75546,0.75685,0.5259,0.67852,0.38845,0.84997,0.000792325,0.000792325,0.000792325
55,2168.48,0.89752,0.43723,0.87302,0.91339,0.74061,0.75329,0.51501,0.68997,0.39967,0.84913,0.000775822,0.000775822,0.000775822
56,2202.42,0.87314,0.43403,0.86708,0.88585,0.75602,0.75548,0.53143,0.66835,0.38088,0.84538,0.000759318,0.000759318,0.000759318
57,2236.48,0.86351,0.4304,0.86184,0.91352,0.74141,0.74178,0.51375,0.6704,0.38071,0.84726,0.000742815,0.000742815,0.000742815
58,2270.08,0.88368,0.43072,0.86376,0.9092,0.72261,0.72002,0.5059,0.67166,0.38213,0.84844,0.000726312,0.000726312,0.000726312
59,2303.87,0.8536,0.4166,0.86788,0.89332,0.72758,0.73345,0.51788,0.69713,0.39526,0.85279,0.000709809,0.000709809,0.000709809
60,2337.67,0.80715,0.40588,0.85871,0.91745,0.7346,0.748,0.52612,0.68154,0.38473,0.84871,0.000693305,0.000693305,0.000693305
61,2371.13,0.84896,0.41812,0.85806,0.95773,0.75958,0.77763,0.5217,0.69827,0.38851,0.85043,0.000676802,0.000676802,0.000676802
62,2404.64,0.85519,0.42712,0.85681,0.91475,0.74787,0.74354,0.51298,0.67961,0.38417,0.84634,0.000660299,0.000660299,0.000660299
63,2438.97,0.84826,0.42576,0.85481,0.90627,0.77849,0.76811,0.50875,0.74233,0.39153,0.85773,0.000643795,0.000643795,0.000643795
64,2472.46,0.81403,0.40246,0.85252,0.87293,0.77544,0.73029,0.515,0.66241,0.37074,0.84724,0.000627292,0.000627292,0.000627292
65,2506.05,0.83711,0.4136,0.85752,0.89341,0.73572,0.72111,0.50588,0.70434,0.3777,0.85452,0.000610789,0.000610789,0.000610789
66,2539.77,0.80248,0.39572,0.85007,0.89634,0.74248,0.7366,0.52944,0.66633,0.37406,0.84873,0.000594286,0.000594286,0.000594286
67,2573.31,0.82293,0.40362,0.85053,0.89875,0.76316,0.74671,0.52703,0.66221,0.36761,0.84582,0.000577782,0.000577782,0.000577782
68,2607.58,0.82551,0.40267,0.85098,0.8932,0.7604,0.74653,0.52177,0.69832,0.36445,0.85168,0.000561279,0.000561279,0.000561279
69,2641.5,0.82263,0.39943,0.84365,0.902,0.76265,0.73069,0.51182,0.68168,0.36937,0.8496,0.000544776,0.000544776,0.000544776
70,2675.07,0.86631,0.40887,0.86289,0.89947,0.75214,0.74088,0.52675,0.67465,0.3685,0.8467,0.000528272,0.000528272,0.000528272
71,2708.63,0.81681,0.39806,0.85858,0.88343,0.74998,0.74233,0.51858,0.68098,0.35955,0.84906,0.000511769,0.000511769,0.000511769
72,2742.23,0.8197,0.39571,0.85492,0.91855,0.75837,0.75081,0.52775,0.68596,0.36613,0.8488,0.000495266,0.000495266,0.000495266
73,2776.25,0.84131,0.40456,0.8609,0.92943,0.75,0.74878,0.50962,0.7005,0.36955,0.85182,0.000478762,0.000478762,0.000478762
74,2809.67,0.78842,0.38303,0.85273,0.874,0.73684,0.71802,0.51311,0.67461,0.3462,0.84684,0.000462259,0.000462259,0.000462259
75,2843.37,0.80139,0.38038,0.85325,0.93467,0.76974,0.75997,0.5214,0.66636,0.34785,0.84549,0.000445756,0.000445756,0.000445756
76,2877.03,0.80639,0.38807,0.85759,0.92186,0.77352,0.74531,0.52156,0.69301,0.35435,0.85015,0.000429253,0.000429253,0.000429253
77,2910.72,0.802,0.37996,0.84896,0.83697,0.73026,0.66883,0.49525,0.66161,0.3506,0.84672,0.000412749,0.000412749,0.000412749
78,2945.6,0.80097,0.38041,0.84805,0.89509,0.77603,0.7399,0.50553,0.67697,0.34893,0.84711,0.000396246,0.000396246,0.000396246
79,2981.91,0.75759,0.37515,0.84833,0.92837,0.76949,0.7555,0.52351,0.66713,0.35133,0.84569,0.000379743,0.000379743,0.000379743
80,3015.85,0.7546,0.36823,0.84442,0.91714,0.75629,0.74226,0.51886,0.67482,0.34679,0.84779,0.000363239,0.000363239,0.000363239
81,3049.66,0.77233,0.37397,0.84492,0.92585,0.7486,0.74611,0.5217,0.66168,0.34676,0.8446,0.000346736,0.000346736,0.000346736
82,3084.74,0.75094,0.3677,0.84542,0.92124,0.75658,0.74477,0.51898,0.6548,0.35045,0.84411,0.000330233,0.000330233,0.000330233
83,3118.79,0.82327,0.38277,0.8584,0.90835,0.74342,0.72961,0.51168,0.66377,0.34485,0.84552,0.000313729,0.000313729,0.000313729
84,3152.89,0.76186,0.36669,0.84196,0.91126,0.75,0.72391,0.52041,0.65519,0.34903,0.84552,0.000297226,0.000297226,0.000297226
85,3186.54,0.80342,0.37561,0.85368,0.91388,0.76316,0.73527,0.51886,0.64682,0.34223,0.84226,0.000280723,0.000280723,0.000280723
86,3220.2,0.79193,0.37637,0.85458,0.91315,0.76974,0.74139,0.51325,0.66352,0.34136,0.84564,0.00026422,0.00026422,0.00026422
87,3254,0.79034,0.37529,0.85198,0.88789,0.73684,0.70784,0.51716,0.65448,0.33868,0.84358,0.000247716,0.000247716,0.000247716
88,3287.66,0.78523,0.37407,0.8429,0.88192,0.75658,0.7277,0.52018,0.64242,0.33405,0.84151,0.000231213,0.000231213,0.000231213
89,3322.38,0.78618,0.37431,0.84997,0.87203,0.75,0.71019,0.51445,0.6511,0.33179,0.8419,0.00021471,0.00021471,0.00021471
90,3356.91,0.77479,0.36569,0.84778,0.86123,0.75,0.71885,0.51811,0.64577,0.32926,0.84141,0.000198206,0.000198206,0.000198206
91,3389.74,0.81557,0.37377,0.8604,0.83158,0.77075,0.72607,0.51833,0.64209,0.32891,0.84086,0.000181703,0.000181703,0.000181703
92,3422.69,0.81337,0.36941,0.86225,0.86979,0.76235,0.7375,0.52568,0.64198,0.33441,0.84096,0.0001652,0.0001652,0.0001652
93,3455.51,0.79631,0.36592,0.85186,0.87599,0.76974,0.74104,0.52748,0.63917,0.33496,0.84023,0.000148696,0.000148696,0.000148696
94,3488.48,0.80906,0.3648,0.85669,0.88126,0.77315,0.74533,0.52656,0.64989,0.33355,0.84168,0.000132193,0.000132193,0.000132193
95,3522.21,0.79,0.35217,0.85767,0.86801,0.76316,0.73302,0.52665,0.65008,0.33625,0.84187,0.00011569,0.00011569,0.00011569
96,3555.09,0.78339,0.35572,0.856,0.86931,0.75658,0.74077,0.52872,0.64276,0.3353,0.84094,9.91865e-05,9.91865e-05,9.91865e-05
97,3588.08,0.79704,0.36046,0.857,0.89046,0.74342,0.73037,0.52732,0.64269,0.33467,0.84049,8.26832e-05,8.26832e-05,8.26832e-05
98,3620.83,0.78976,0.35394,0.85294,0.89767,0.74342,0.73158,0.52699,0.64359,0.33278,0.84062,6.61799e-05,6.61799e-05,6.61799e-05
99,3653.46,0.7841,0.35087,0.8557,0.90236,0.74986,0.74029,0.52762,0.64735,0.33174,0.84141,4.96766e-05,4.96766e-05,4.96766e-05
100,3686.77,0.78927,0.35555,0.8579,0.88617,0.74328,0.72571,0.52311,0.64571,0.33021,0.84107,3.31733e-05,3.31733e-05,3.31733e-05
