epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.7055,1.27242,2.65392,0.97696,0.01101,0.42841,0.35196,0.25,0.98145,2.89961,0.89884,0.00036674,0.00036674,0.00036674
2,71.3544,1.16453,1.17268,0.9475,0.01321,0.44966,0.27561,0.22672,0.94828,3.02312,0.91457,0.000742724,0.000742724,0.000742724
3,106.813,1.09718,0.94445,0.91776,0.98996,0.16372,0.47664,0.33585,0.97712,2.44023,0.90793,0.00111112,0.00111112,0.00111112
4,142.625,1.08024,0.90952,0.92318,0.99231,0.35784,0.48908,0.3763,0.89929,1.81589,0.90547,0.00147192,0.00147192,0.00147192
5,177.591,1.04831,0.85823,0.91434,0.95374,0.46421,0.48217,0.37248,0.92112,1.1497,0.91257,0.00160099,0.00160099,0.00160099
6,212.222,1.05741,0.81737,0.92008,0.74954,0.56595,0.54614,0.40679,0.88634,0.86449,0.91958,0.00158448,0.00158448,0.00158448
7,247.595,1.0194,0.75359,0.90893,0.74682,0.52825,0.54943,0.38918,0.85181,0.89139,0.89472,0.00156798,0.00156798,0.00156798
8,282.411,0.97121,0.70606,0.90368,0.99332,0.4956,0.53773,0.39512,0.93255,0.76272,0.92311,0.00155148,0.00155148,0.00155148
9,317.487,1.00093,0.69377,0.89862,0.84734,0.61389,0.5932,0.41993,0.82386,0.67571,0.89215,0.00153497,0.00153497,0.00153497
10,352.906,0.97856,0.67013,0.89777,0.98875,0.58811,0.60799,0.41691,0.90856,0.71693,0.90573,0.00151847,0.00151847,0.00151847
11,388.033,0.96979,0.65189,0.89347,0.91204,0.63191,0.64309,0.43011,0.79669,0.61087,0.88018,0.00150197,0.00150197,0.00150197
12,423.13,1.02336,0.64926,0.90254,0.79368,0.63913,0.63368,0.44869,0.783,0.60711,0.8872,0.00148546,0.00148546,0.00148546
13,459.307,0.97167,0.61729,0.89842,0.88848,0.66352,0.65442,0.44741,0.78741,0.57104,0.87629,0.00146896,0.00146896,0.00146896
14,496.143,0.97253,0.61816,0.90276,0.90811,0.61167,0.63302,0.43295,0.78792,0.57314,0.87869,0.00145246,0.00145246,0.00145246
15,562.335,0.89604,0.5765,0.87255,0.79815,0.63859,0.63564,0.4389,0.78732,0.57683,0.8794,0.00143595,0.00143595,0.00143595
16,712.979,0.91053,0.57005,0.88638,0.80398,0.61474,0.61644,0.44792,0.78854,0.56974,0.88859,0.00141945,0.00141945,0.00141945
17,869.798,0.88239,0.53927,0.87536,0.82448,0.64522,0.66682,0.44288,0.74682,0.53594,0.86928,0.00140295,0.00140295,0.00140295
18,1014.02,0.90428,0.54078,0.87486,0.91076,0.64894,0.64832,0.46348,0.74055,0.53716,0.86756,0.00138644,0.00138644,0.00138644
19,1170.19,0.92117,0.53993,0.87698,0.90429,0.65742,0.66334,0.46165,0.73374,0.5091,0.86482,0.00136994,0.00136994,0.00136994
20,1248.92,0.9475,0.5489,0.87912,0.88191,0.68409,0.68196,0.46826,0.75383,0.52885,0.87358,0.00135344,0.00135344,0.00135344
21,1287.64,0.89774,0.52549,0.88765,0.73929,0.66961,0.63837,0.45153,0.74529,0.56305,0.86847,0.00133693,0.00133693,0.00133693
22,1324.8,0.89127,0.51053,0.86407,0.88717,0.69454,0.69717,0.48954,0.7238,0.47747,0.86663,0.00132043,0.00132043,0.00132043
23,1363.97,0.89456,0.5252,0.87734,0.8939,0.70508,0.69938,0.47543,0.75038,0.48947,0.87395,0.00130393,0.00130393,0.00130393
24,1402.81,0.90766,0.52335,0.881,0.8677,0.7123,0.72464,0.48942,0.73956,0.48029,0.86555,0.00128742,0.00128742,0.00128742
25,1447.47,0.84922,0.48208,0.87043,0.90048,0.73171,0.7195,0.48334,0.72743,0.46681,0.86575,0.00127092,0.00127092,0.00127092
