epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.5956,1.33544,3.16299,0.99957,0.01763,0.4914,0.38221,0.22566,1.02741,3.12586,0.91088,0.00025005,0.00025005,0.00025005
2,71.2622,1.22622,1.28058,0.93707,0.01908,0.49263,0.27172,0.22089,0.90028,3.06798,0.89457,0.000511654,0.000511654,0.000511654
3,105.123,1.17789,1.00295,0.93212,0.01166,0.35381,0.07471,0.04182,1.02186,3.56296,1.00996,0.000767977,0.000767977,0.000767977
4,140.233,1.1277,0.88752,0.91343,0.99253,0.24297,0.48779,0.37118,0.95473,2.19944,0.91017,0.00101902,0.00101902,0.00101902
5,174.111,1.11322,0.85827,0.93653,0.97345,0.35048,0.47723,0.34876,0.92448,1.94346,0.89969,0.00126478,0.00126478,0.00126478
6,208.691,1.0705,0.84212,0.91194,0.97494,0.489,0.48829,0.34588,1.01711,1.43009,0.93696,0.00150526,0.00150526,0.00150526
7,242.205,1.1164,0.81731,0.92246,0.98062,0.49877,0.48979,0.38574,0.90603,1.18166,0.92222,0.00156798,0.00156798,0.00156798
8,274.853,1.06235,0.78155,0.92146,0.99246,0.49877,0.49148,0.3759,0.8972,0.91799,0.9072,0.00155148,0.00155148,0.00155148
9,307.371,1.02493,0.74533,0.90872,0.99244,0.49877,0.49154,0.34991,0.94595,0.86915,0.91059,0.00153497,0.00153497,0.00153497
10,339.056,1.06103,0.72212,0.90802,0.99232,0.5,0.49381,0.37957,0.92121,0.73402,0.92147,0.00151847,0.00151847,0.00151847
11,370.701,1.03549,0.70725,0.90775,0.9926,0.5,0.49312,0.38641,0.82659,0.69427,0.88935,0.00150197,0.00150197,0.00150197
12,402.501,1.10037,0.70539,0.89637,0.99382,0.5,0.49204,0.37909,0.85802,0.73094,0.89105,0.00148546,0.00148546,0.00148546
13,434.259,0.95743,0.65987,0.88601,0.99374,0.5,0.49169,0.39183,0.8186,0.679,0.89139,0.00146896,0.00146896,0.00146896
14,466.055,1.01662,0.67074,0.9005,0.99376,0.5,0.49239,0.38917,0.88695,0.6622,0.90064,0.00145246,0.00145246,0.00145246
15,498.168,1.01339,0.64038,0.8982,0.98786,0.4936,0.49405,0.3946,0.81868,0.64546,0.88731,0.00143595,0.00143595,0.00143595
16,529.824,0.97751,0.62059,0.89197,0.99512,0.49851,0.49573,0.39981,0.81056,0.61835,0.8787,0.00141945,0.00141945,0.00141945
17,563.692,0.98197,0.61622,0.89631,0.49254,0.5,0.49443,0.39684,0.85403,0.68622,0.88529,0.00140295,0.00140295,0.00140295
18,596.949,0.97562,0.60658,0.87572,0.99393,0.49993,0.50343,0.38762,0.89201,0.61931,0.89529,0.00138644,0.00138644,0.00138644
19,631.528,1.04759,0.60736,0.90123,0.58933,0.61351,0.54245,0.40784,0.83654,0.60772,0.88034,0.00136994,0.00136994,0.00136994
