epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8781,2.25526,4.29243,1.24587,0.03859,0.66912,0.03299,0.01415,1.8339,3.98805,1.05736,0.00013336,0.00013336,0.00013336
2,27.317,1.7385,2.42671,0.99759,0.04393,0.97059,0.49985,0.27491,1.56536,3.29479,1.0197,0.000280584,0.000280584,0.000280584
3,39.4751,1.44653,1.27976,0.97277,0.04912,0.98529,0.05205,0.02362,1.72114,3.11989,1.06357,0.000424838,0.000424838,0.000424838
4,52.042,1.4296,1.11004,0.96539,0.04894,0.97059,0.6099,0.35871,1.39737,2.88401,0.96671,0.000566122,0.000566122,0.000566122
5,64.6118,1.42758,0.96936,0.98172,0.05052,0.99265,0.80552,0.44191,1.49224,2.87574,0.98809,0.000704434,0.000704434,0.000704434
6,77.1925,1.37166,0.9267,0.95251,0.98194,0.39984,0.97873,0.52095,1.47927,2.0659,0.98689,0.000839776,0.000839776,0.000839776
7,89.7166,1.37669,0.93584,0.94028,0.98422,0.45857,0.97844,0.50464,1.40757,1.99695,0.93571,0.000972148,0.000972148,0.000972148
8,102.323,1.36965,0.85643,0.96447,0.9864,0.5333,0.97736,0.54983,1.50603,2.02254,0.98884,0.00110155,0.00110155,0.00110155
9,115.025,1.38868,0.86182,0.9442,0.98397,0.90263,0.98977,0.53536,1.40624,1.67498,0.93466,0.00122798,0.00122798,0.00122798
10,127.708,1.38742,0.85721,0.97861,0.86382,0.93281,0.96128,0.48087,1.3868,1.67706,0.93677,0.00135144,0.00135144,0.00135144
11,140.425,1.36661,0.85395,0.95008,0.97781,0.97206,0.99427,0.61345,1.21293,1.56988,0.90554,0.00147193,0.00147193,0.00147193
12,153.644,1.26424,0.77509,0.94717,0.99748,1,0.995,0.60691,1.3235,0.99222,0.95869,0.00148546,0.00148546,0.00148546
13,166.407,1.29999,0.77541,0.94571,0.99874,1,0.995,0.6293,1.28119,0.90569,0.93754,0.00146896,0.00146896,0.00146896
14,179.147,1.26383,0.75221,0.92962,0.99903,1,0.995,0.64337,1.24332,0.7421,0.91352,0.00145246,0.00145246,0.00145246
15,191.866,1.23593,0.72044,0.93378,1,0.99853,0.995,0.65232,1.22119,0.70819,0.9155,0.00143595,0.00143595,0.00143595
16,204.77,1.33135,0.74959,0.93175,0.9927,0.99982,0.995,0.66593,1.17985,0.78172,0.90188,0.00141945,0.00141945,0.00141945
17,217.501,1.27136,0.71953,0.93678,0.99269,0.99883,0.99471,0.66032,1.13278,0.70044,0.89476,0.00140295,0.00140295,0.00140295
18,230.368,1.21951,0.70777,0.93281,1,0.99741,0.995,0.64148,1.21876,0.82751,0.91316,0.00138644,0.00138644,0.00138644
19,243.135,1.19917,0.68883,0.92379,1,0.99923,0.995,0.678,1.11377,0.773,0.89547,0.00136994,0.00136994,0.00136994
20,255.928,1.20874,0.67489,0.92479,0.99945,1,0.995,0.67552,1.12113,0.61125,0.8866,0.00135344,0.00135344,0.00135344
21,268.974,1.21699,0.67297,0.92225,0.99925,1,0.995,0.68825,1.13625,0.68661,0.88844,0.00133693,0.00133693,0.00133693
22,281.872,1.22476,0.67153,0.9223,0.99966,1,0.995,0.67537,1.15657,0.62744,0.89861,0.00132043,0.00132043,0.00132043
23,294.627,1.23598,0.65745,0.9289,1,0.9994,0.995,0.67467,1.09786,0.63125,0.88861,0.00130393,0.00130393,0.00130393
24,307.469,1.20833,0.65992,0.91438,1,0.99895,0.995,0.62659,1.1998,0.64785,0.90865,0.00128742,0.00128742,0.00128742
25,320.304,1.13114,0.61333,0.89142,0.9997,1,0.995,0.68232,1.1561,0.64558,0.89427,0.00127092,0.00127092,0.00127092
26,333.618,1.21098,0.64782,0.93353,1,0.99802,0.995,0.68041,1.17463,0.63354,0.89869,0.00125442,0.00125442,0.00125442
27,346.596,1.169,0.6459,0.9094,1,0.99943,0.995,0.68818,1.12014,0.61758,0.89427,0.00123791,0.00123791,0.00123791
28,359.552,1.18349,0.61852,0.92667,1,0.99974,0.995,0.69691,1.11684,0.61575,0.89113,0.00122141,0.00122141,0.00122141
29,372.569,1.19833,0.63813,0.90556,0.9984,0.99265,0.995,0.6706,1.12715,0.6182,0.89048,0.00120491,0.00120491,0.00120491
30,385.58,1.18082,0.64221,0.92842,0.99846,0.99265,0.995,0.65953,1.17973,0.62622,0.90317,0.0011884,0.0011884,0.0011884
31,398.533,1.26389,0.6317,0.91456,0.9988,0.99265,0.995,0.65638,1.22267,0.64492,0.91199,0.0011719,0.0011719,0.0011719
32,411.678,1.15551,0.60583,0.90627,1,0.99939,0.995,0.65251,1.17079,0.62989,0.90066,0.0011554,0.0011554,0.0011554
33,424.828,1.15602,0.59901,0.89413,1,0.99932,0.995,0.67962,1.11342,0.58378,0.89107,0.00113889,0.00113889,0.00113889
34,438.612,1.17791,0.58619,0.91323,1,0.99937,0.995,0.69665,1.10086,0.58487,0.88635,0.00112239,0.00112239,0.00112239
35,451.954,1.19547,0.59458,0.93163,0.99863,0.99265,0.995,0.67226,1.1186,0.57432,0.89689,0.00110589,0.00110589,0.00110589
36,465.018,1.20567,0.61548,0.90676,0.99848,0.99265,0.995,0.68082,1.09967,0.58246,0.88784,0.00108938,0.00108938,0.00108938
37,478.075,1.17146,0.5883,0.89486,0.99863,0.99265,0.995,0.66536,1.13081,0.58704,0.89853,0.00107288,0.00107288,0.00107288
38,491.108,1.19752,0.58964,0.90973,0.99994,1,0.995,0.674,1.1564,0.57332,0.89811,0.00105638,0.00105638,0.00105638
39,504.198,1.13205,0.58298,0.91001,0.99928,1,0.995,0.6953,1.06281,0.577,0.88,0.00103987,0.00103987,0.00103987
40,518.246,1.13865,0.57026,0.90985,0.99944,1,0.995,0.66505,1.15807,0.58165,0.90738,0.00102337,0.00102337,0.00102337
41,531.421,1.18399,0.57693,0.9145,1,0.99957,0.995,0.70047,1.06567,0.54736,0.88407,0.00100687,0.00100687,0.00100687
42,544.601,1.15051,0.57604,0.89661,0.99868,0.99265,0.995,0.67756,1.16164,0.57263,0.90272,0.000990365,0.000990365,0.000990365
43,557.817,1.15801,0.57061,0.92614,0.99698,0.99265,0.995,0.69395,1.10434,0.55606,0.88259,0.000973861,0.000973861,0.000973861
44,571.077,1.14989,0.55605,0.90815,1,0.9991,0.995,0.68026,1.07722,0.55207,0.88285,0.000957358,0.000957358,0.000957358
45,584.405,1.1225,0.54042,0.89193,0.99982,1,0.995,0.67958,1.127,0.54294,0.88836,0.000940855,0.000940855,0.000940855
46,597.638,1.10052,0.55121,0.88201,0.99963,1,0.995,0.70422,1.05774,0.53668,0.88113,0.000924352,0.000924352,0.000924352
47,611.348,1.15577,0.56219,0.91711,0.99944,1,0.995,0.70275,1.06505,0.53142,0.88151,0.000907848,0.000907848,0.000907848
