epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.1308,1.17891,2.02461,0.96121,0.01089,0.45824,0.36155,0.25298,1.03662,3.23384,0.93192,0.000465256,0.000465256,0.000465256
2,137.716,1.04163,0.95452,0.92632,0.94237,0.40493,0.62828,0.34119,1.22604,2.40863,1.0374,0.000932267,0.000932267,0.000932267
3,205.861,1.01418,0.86515,0.91888,0.94118,0.61309,0.63965,0.38039,1.10201,1.09267,0.97138,0.00138985,0.00138985,0.00138985
4,273.91,0.98129,0.75534,0.90859,0.79125,0.68264,0.71385,0.4252,1.18102,0.99268,0.98965,0.00138656,0.00138656,0.00138656
5,340.071,0.98269,0.73286,0.91326,0.96178,0.66595,0.71867,0.48458,0.8621,0.7412,0.91741,0.00137241,0.00137241,0.00137241
6,406.529,0.90705,0.6714,0.89925,0.81461,0.77963,0.75985,0.47645,0.87769,0.79059,0.91229,0.00135826,0.00135826,0.00135826
7,473.614,0.88859,0.65194,0.8836,0.78553,0.78688,0.77075,0.47989,0.85605,0.82811,0.91133,0.00134412,0.00134412,0.00134412
8,541.333,0.87465,0.61022,0.87951,0.90124,0.72893,0.80857,0.49662,0.86434,0.6839,0.90888,0.00132997,0.00132997,0.00132997
9,610.027,0.89205,0.59438,0.89012,0.8892,0.76292,0.79172,0.51536,0.82814,0.61112,0.8952,0.00131582,0.00131582,0.00131582
10,679.437,0.84743,0.55013,0.8741,0.87222,0.83262,0.81655,0.51029,0.87133,0.59651,0.90424,0.00130168,0.00130168,0.00130168
11,748.83,0.88894,0.55713,0.88598,0.82624,0.77872,0.78171,0.51272,0.89711,0.5928,0.91282,0.00128753,0.00128753,0.00128753
12,818.57,0.86415,0.5459,0.87743,0.84895,0.805,0.83529,0.54222,0.8437,0.56388,0.90033,0.00127338,0.00127338,0.00127338
13,888.709,0.83795,0.50791,0.87165,0.93566,0.83853,0.8521,0.55723,0.82213,0.54104,0.89368,0.00125923,0.00125923,0.00125923
14,959.079,0.8601,0.50516,0.87498,0.8759,0.8573,0.83385,0.55327,0.85486,0.56534,0.8991,0.00124509,0.00124509,0.00124509
15,1029.84,0.82979,0.49808,0.86921,0.92419,0.79754,0.81929,0.52467,0.85137,0.53637,0.89568,0.00123094,0.00123094,0.00123094
16,1102.77,0.86378,0.51078,0.87829,0.91812,0.80834,0.85059,0.53998,0.82673,0.52937,0.89078,0.00121679,0.00121679,0.00121679
17,1174.7,0.83421,0.47306,0.87171,0.91556,0.79992,0.82854,0.53712,0.84758,0.51126,0.89626,0.00120265,0.00120265,0.00120265
18,1244.49,0.82866,0.48213,0.86702,0.92876,0.74508,0.79974,0.4992,0.85695,0.56485,0.90598,0.0011885,0.0011885,0.0011885
19,1314.39,0.83294,0.4678,0.86158,0.96483,0.85913,0.88685,0.57111,0.84476,0.4994,0.89625,0.00117435,0.00117435,0.00117435
20,1384.07,0.8364,0.46358,0.86695,0.86038,0.81815,0.83795,0.54067,0.84572,0.52698,0.90046,0.00116021,0.00116021,0.00116021
21,1453.86,0.79725,0.45631,0.8637,0.87541,0.85875,0.85694,0.56687,0.82971,0.47183,0.89572,0.00114606,0.00114606,0.00114606
22,1523.72,0.82984,0.45431,0.86914,0.93484,0.84529,0.85685,0.57607,0.82638,0.49074,0.89008,0.00113191,0.00113191,0.00113191
23,1593.47,0.83475,0.46366,0.86724,0.90045,0.86006,0.86029,0.57719,0.81021,0.47488,0.8911,0.00111776,0.00111776,0.00111776
24,1663.55,0.81946,0.45053,0.86693,0.86041,0.83258,0.84974,0.56811,0.82669,0.47036,0.89428,0.00110362,0.00110362,0.00110362
25,1733.82,0.80648,0.43337,0.86572,0.85732,0.85988,0.86679,0.58434,0.77062,0.45144,0.88212,0.00108947,0.00108947,0.00108947
