epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.6379,1.16613,2.08081,0.96622,0.01136,0.50743,0.33689,0.24236,1.06959,2.99575,0.95159,0.000464715,0.000464715,0.000464715
2,141.071,1.03365,0.9852,0.92784,0.99737,0.26358,0.63818,0.39724,1.03839,2.01964,0.94056,0.000931732,0.000931732,0.000931732
3,214.871,0.95682,0.84263,0.90485,0.99638,0.63788,0.66501,0.44817,0.99652,1.25985,0.95248,0.00138932,0.00138932,0.00138932
4,285.252,0.98589,0.78329,0.90857,0.71904,0.62672,0.66343,0.43964,0.9898,0.96498,0.9578,0.00138656,0.00138656,0.00138656
5,361.57,0.93752,0.71076,0.89777,0.81151,0.73312,0.73621,0.43815,0.94655,0.77392,0.93618,0.00137241,0.00137241,0.00137241
6,431.063,0.94491,0.68469,0.89464,0.64927,0.73848,0.73312,0.43946,1.08401,0.84396,0.9813,0.00135826,0.00135826,0.00135826
7,499.735,0.91809,0.64831,0.89475,0.83353,0.7386,0.73888,0.48129,0.90584,0.70245,0.92003,0.00134412,0.00134412,0.00134412
8,567.146,0.87477,0.60751,0.88469,0.91644,0.70838,0.78329,0.50539,0.87033,0.65695,0.91244,0.00132997,0.00132997,0.00132997
9,634.984,0.88669,0.59325,0.88369,0.90569,0.73875,0.79494,0.51897,0.84356,0.61805,0.89773,0.00131582,0.00131582,0.00131582
10,702.789,0.84619,0.55205,0.87931,0.82026,0.79386,0.80291,0.53894,0.83927,0.57362,0.89775,0.00130168,0.00130168,0.00130168
11,770.003,0.87306,0.54958,0.88189,0.8571,0.70655,0.77219,0.50968,0.86186,0.59028,0.8999,0.00128753,0.00128753,0.00128753
12,840.088,0.86181,0.52998,0.87802,0.82203,0.77811,0.81166,0.53284,0.82414,0.56088,0.8913,0.00127338,0.00127338,0.00127338
13,907.311,0.86783,0.52052,0.88431,0.9076,0.8539,0.86499,0.5713,0.82676,0.56391,0.89679,0.00125923,0.00125923,0.00125923
14,974.108,0.86254,0.51793,0.88094,0.83088,0.83302,0.84022,0.53707,0.86417,0.54812,0.90377,0.00124509,0.00124509,0.00124509
15,1046.54,0.83601,0.49835,0.86869,0.8543,0.83704,0.84497,0.53872,0.95214,0.55807,0.92503,0.00123094,0.00123094,0.00123094
16,1116.64,0.86152,0.50094,0.87736,0.87878,0.81361,0.83628,0.54419,0.85343,0.50808,0.89802,0.00121679,0.00121679,0.00121679
17,1184.69,0.82035,0.47615,0.86721,0.90742,0.82413,0.84997,0.57155,0.79676,0.51804,0.88096,0.00120265,0.00120265,0.00120265
18,1252.18,0.84104,0.4755,0.8738,0.80701,0.78865,0.82373,0.54186,0.83522,0.5244,0.8928,0.0011885,0.0011885,0.0011885
19,1319.76,0.82429,0.47247,0.87076,0.91482,0.83612,0.85795,0.56342,0.82433,0.50011,0.8909,0.00117435,0.00117435,0.00117435
20,1445.76,0.82352,0.46209,0.87115,0.92695,0.85799,0.85552,0.57362,0.81202,0.47519,0.89288,0.00116021,0.00116021,0.00116021
21,1574.95,0.80853,0.45983,0.86785,0.90199,0.78196,0.82957,0.53985,0.81246,0.49079,0.88553,0.00114606,0.00114606,0.00114606
22,1645.82,0.8104,0.45946,0.86687,0.87027,0.82137,0.84397,0.56869,0.8115,0.48206,0.89022,0.00113191,0.00113191,0.00113191
23,1715.18,0.82074,0.45803,0.86966,0.90832,0.8288,0.84967,0.56957,0.8554,0.48722,0.90236,0.00111776,0.00111776,0.00111776
24,1786.01,0.83536,0.46319,0.87075,0.86101,0.83052,0.83532,0.54384,0.85181,0.50048,0.89819,0.00110362,0.00110362,0.00110362
25,1855.99,0.80994,0.4431,0.86442,0.86124,0.82905,0.83651,0.55224,0.83821,0.48387,0.89369,0.00108947,0.00108947,0.00108947
26,1930.68,0.83544,0.44939,0.87324,0.96295,0.84718,0.87145,0.5642,0.83528,0.47299,0.89729,0.00107532,0.00107532,0.00107532
27,2002.92,0.81228,0.43665,0.86508,0.82932,0.85515,0.85007,0.55121,0.81858,0.48042,0.89067,0.00106118,0.00106118,0.00106118
28,2072.68,0.79347,0.43238,0.86174,0.90798,0.82298,0.86551,0.55955,0.81779,0.49202,0.8862,0.00104703,0.00104703,0.00104703
29,2142.65,0.81321,0.4406,0.86755,0.93472,0.81566,0.8448,0.55473,0.83789,0.47562,0.89517,0.00103288,0.00103288,0.00103288
30,2212.75,0.80303,0.43009,0.86334,0.8886,0.84156,0.86462,0.58771,0.79795,0.45519,0.88506,0.00101873,0.00101873,0.00101873
31,2283.12,0.78453,0.42456,0.86114,0.9489,0.86359,0.88384,0.58986,0.79687,0.4465,0.87909,0.00100459,0.00100459,0.00100459
32,2353.05,0.79472,0.41362,0.86669,0.94644,0.82776,0.84789,0.56422,0.82155,0.46561,0.88874,0.00099044,0.00099044,0.00099044
33,2422.56,0.77118,0.41282,0.8574,0.96057,0.8539,0.87797,0.58201,0.82865,0.45577,0.88895,0.000976293,0.000976293,0.000976293
34,2494.32,0.80147,0.4137,0.86001,0.90819,0.85483,0.85232,0.56168,0.83115,0.44498,0.88749,0.000962146,0.000962146,0.000962146
35,2685.88,0.80384,0.40635,0.86297,0.9305,0.85699,0.8737,0.56819,0.81594,0.44066,0.88689,0.000947999,0.000947999,0.000947999
36,2858.05,0.7796,0.40476,0.85656,0.91785,0.86065,0.86782,0.57445,0.79001,0.43597,0.88172,0.000933851,0.000933851,0.000933851
37,2939.27,0.79061,0.4164,0.85438,0.95566,0.87174,0.89428,0.59403,0.84265,0.45359,0.89245,0.000919704,0.000919704,0.000919704
