epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,706.847,1.14,2.62442,1.08762,1,0.19451,0.33426,0.25457,1.07871,3.78635,1.06092,0.000465748,0.000465748,0.000465748
2,1379.4,0.98176,1.70333,1.00504,0.51842,0.29051,0.51511,0.3437,1.0282,3.09192,1.06161,0.000932755,0.000932755,0.000932755
3,2040.72,0.99556,1.42183,1.00022,0.97618,0.63143,0.69521,0.42513,1.06474,1.76487,1.0852,0.00139033,0.00139033,0.00139033
4,2723,0.97167,1.2095,0.99886,0.96472,0.66485,0.73164,0.48854,0.9833,1.43739,1.04867,0.00138656,0.00138656,0.00138656
5,3429.42,0.96255,1.04977,1.00499,0.90311,0.68417,0.73038,0.49076,0.94238,1.25707,1.0432,0.00137241,0.00137241,0.00137241
6,4126.15,0.9171,0.88731,0.97936,0.90758,0.74462,0.79793,0.4986,0.95263,1.07269,1.04735,0.00135826,0.00135826,0.00135826
7,4797.19,0.91221,0.81144,0.98145,0.7935,0.77413,0.77142,0.48157,0.94904,1.06774,1.05403,0.00134412,0.00134412,0.00134412
8,5455.49,0.87671,0.79283,0.97761,0.74849,0.7452,0.76945,0.50282,0.88694,0.82482,1.02245,0.00132997,0.00132997,0.00132997
9,6114.51,0.89317,0.70102,0.9807,0.80327,0.78865,0.78553,0.54179,0.89272,0.81795,1.0154,0.00131582,0.00131582,0.00131582
10,6768.79,0.87889,0.66953,0.97156,0.76993,0.74428,0.7706,0.53228,0.93027,0.83442,1.031,0.00130168,0.00130168,0.00130168
11,7420.58,0.88506,0.62939,0.97394,0.87958,0.78191,0.81947,0.5468,0.90456,0.70088,1.02534,0.00128753,0.00128753,0.00128753
12,8077.65,0.87106,0.59931,0.97015,0.85098,0.78852,0.78026,0.53365,0.91044,0.67352,1.02459,0.00127338,0.00127338,0.00127338
13,8734.1,0.86824,0.59542,0.96958,0.79299,0.7972,0.80185,0.55161,0.87711,0.66825,1.01383,0.00125923,0.00125923,0.00125923
14,9389.26,0.83915,0.53596,0.9564,0.7873,0.76968,0.78452,0.56663,0.85598,0.64244,1.00213,0.00124509,0.00124509,0.00124509
15,10040.5,0.84497,0.55038,0.96223,0.79088,0.79234,0.75626,0.53394,0.85483,0.61655,1.00791,0.00123094,0.00123094,0.00123094
16,10694.9,0.85351,0.52325,0.96096,0.87071,0.84276,0.83645,0.57379,0.83517,0.58179,1.00236,0.00121679,0.00121679,0.00121679
17,11343.9,0.84928,0.52828,0.97282,0.83875,0.81028,0.8155,0.55799,0.84107,0.59235,1.01106,0.00120265,0.00120265,0.00120265
18,11991.9,0.85223,0.52252,0.96836,0.8672,0.80964,0.84107,0.57038,0.86444,0.5986,1.0137,0.0011885,0.0011885,0.0011885
19,12643.5,0.85219,0.53137,0.96063,0.87953,0.82709,0.85289,0.58867,0.83494,0.56684,1.00895,0.00117435,0.00117435,0.00117435
20,13296.9,0.83783,0.50159,0.96112,0.80694,0.82159,0.82384,0.56679,0.83897,0.56025,0.99941,0.00116021,0.00116021,0.00116021
21,13950.6,0.85026,0.48407,0.95981,0.87404,0.85412,0.86469,0.58747,0.79537,0.5202,0.99146,0.00114606,0.00114606,0.00114606
22,14601.1,0.83961,0.48003,0.96789,0.85016,0.7837,0.79976,0.5581,0.8395,0.56829,1.00777,0.00113191,0.00113191,0.00113191
23,15271.7,0.83117,0.47638,0.95527,0.89743,0.85976,0.87406,0.60382,0.81076,0.51245,1.00428,0.00111776,0.00111776,0.00111776
24,15929.5,0.79254,0.45067,0.94915,0.9404,0.76792,0.80235,0.57668,0.82522,0.5107,1.00414,0.00110362,0.00110362,0.00110362
25,16582.2,0.80075,0.46059,0.94941,0.88182,0.85806,0.87536,0.60108,0.82655,0.49187,1.00275,0.00108947,0.00108947,0.00108947
26,17237.1,0.81607,0.45848,0.9564,0.88613,0.79629,0.83621,0.59646,0.81365,0.47533,1.0021,0.00107532,0.00107532,0.00107532
