epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.253,1.14618,1.94894,0.95395,1,0.06536,0.40017,0.28063,1.01458,2.82328,0.92337,0.000466807,0.000466807,0.000466807
2,199.121,0.97127,0.92103,0.90898,0.95144,0.45893,0.58394,0.35782,1.06631,1.93978,0.94353,0.000933803,0.000933803,0.000933803
3,278.426,0.95941,0.85779,0.91258,0.74367,0.68478,0.68668,0.42376,0.95892,0.96869,0.94227,0.00139137,0.00139137,0.00139137
4,364.836,0.93778,0.76163,0.89655,0.69849,0.67787,0.62869,0.44214,0.89492,0.85908,0.9061,0.00138656,0.00138656,0.00138656
5,447.275,0.89181,0.68202,0.88772,0.88928,0.70406,0.75839,0.46409,0.87696,0.71332,0.91459,0.00137241,0.00137241,0.00137241
6,529.352,0.88845,0.64698,0.88446,0.86117,0.73615,0.75806,0.48739,0.87882,0.66298,0.91023,0.00135826,0.00135826,0.00135826
7,615.8,0.83351,0.5924,0.87285,0.82931,0.77979,0.79029,0.52248,0.81782,0.62295,0.89104,0.00134412,0.00134412,0.00134412
8,702.168,0.87032,0.58185,0.87895,0.84143,0.74377,0.76205,0.51169,0.89753,0.62938,0.9094,0.00132997,0.00132997,0.00132997
9,786.575,0.87469,0.5781,0.88128,0.84257,0.80833,0.81054,0.51759,0.90251,0.60834,0.91887,0.00131582,0.00131582,0.00131582
10,869.972,0.84735,0.57034,0.87441,0.85882,0.79454,0.82903,0.52935,0.83952,0.5617,0.89169,0.00130168,0.00130168,0.00130168
11,953.405,0.85599,0.54534,0.87419,0.76818,0.80925,0.82196,0.53994,0.81568,0.54814,0.88806,0.00128753,0.00128753,0.00128753
12,1037.55,0.83398,0.51771,0.86888,0.85932,0.74747,0.77393,0.48123,0.92312,0.56259,0.91575,0.00127338,0.00127338,0.00127338
13,1120.98,0.84101,0.52056,0.8732,0.95207,0.69037,0.7218,0.49339,0.84077,0.56265,0.90271,0.00125923,0.00125923,0.00125923
14,1204.4,0.79595,0.48435,0.86588,0.8794,0.79158,0.80501,0.53379,0.82821,0.52815,0.8941,0.00124509,0.00124509,0.00124509
15,1288,0.82336,0.49556,0.87056,0.77806,0.83002,0.81481,0.53655,0.80674,0.49003,0.88842,0.00123094,0.00123094,0.00123094
16,1376.79,0.82482,0.4848,0.86339,0.86089,0.82805,0.85536,0.55378,0.79753,0.49555,0.88486,0.00121679,0.00121679,0.00121679
17,1460.22,0.8113,0.47476,0.86411,0.80721,0.77948,0.80073,0.53599,0.78988,0.5079,0.8775,0.00120265,0.00120265,0.00120265
18,1550.85,0.81357,0.48481,0.87037,0.88765,0.81656,0.85821,0.54677,0.79944,0.48777,0.88481,0.0011885,0.0011885,0.0011885
19,1634.61,0.77717,0.45321,0.85841,0.84716,0.84371,0.85507,0.56591,0.79159,0.46161,0.87874,0.00117435,0.00117435,0.00117435
20,1718.22,0.82514,0.45875,0.86696,0.92237,0.84597,0.85881,0.57511,0.81592,0.46417,0.88207,0.00116021,0.00116021,0.00116021
21,1803.66,0.79809,0.45608,0.86267,0.93929,0.85519,0.87794,0.56534,0.7748,0.44819,0.8751,0.00114606,0.00114606,0.00114606
22,1893.46,0.81571,0.46463,0.86348,0.86415,0.86062,0.86552,0.57413,0.79629,0.4468,0.879,0.00113191,0.00113191,0.00113191
23,1978.8,0.78035,0.44294,0.86012,0.7959,0.79932,0.80888,0.53358,0.79012,0.46064,0.87902,0.00111776,0.00111776,0.00111776
24,2062.1,0.7767,0.44431,0.85477,0.89464,0.84616,0.87725,0.57804,0.80299,0.44075,0.88383,0.00110362,0.00110362,0.00110362
25,2145.64,0.78492,0.43357,0.85934,0.88762,0.85264,0.85529,0.56746,0.78054,0.44664,0.87463,0.00108947,0.00108947,0.00108947
26,2229.03,0.77249,0.43508,0.85706,0.86273,0.77543,0.80764,0.50406,0.83869,0.45968,0.89602,0.00107532,0.00107532,0.00107532
27,2312.13,0.80694,0.44442,0.86464,0.75024,0.77627,0.7809,0.53188,0.77466,0.47977,0.88069,0.00106118,0.00106118,0.00106118
28,2397.74,0.78731,0.46281,0.8609,0.88272,0.8794,0.88729,0.58831,0.78694,0.44341,0.87671,0.00104703,0.00104703,0.00104703
29,2486.29,0.7878,0.44746,0.86178,0.88332,0.8603,0.87128,0.58045,0.78987,0.44952,0.87965,0.00103288,0.00103288,0.00103288
30,2569.79,0.78035,0.45377,0.86014,0.86083,0.83726,0.85876,0.57832,0.78145,0.44597,0.88085,0.00101873,0.00101873,0.00101873
31,2653.02,0.78924,0.43477,0.85599,0.8954,0.82541,0.85167,0.57163,0.79124,0.44038,0.87855,0.00100459,0.00100459,0.00100459
32,2736.15,0.77476,0.42522,0.85674,0.94024,0.85679,0.87653,0.59146,0.76529,0.41757,0.87229,0.00099044,0.00099044,0.00099044
33,2820.72,0.76344,0.42669,0.84859,0.94399,0.8702,0.89496,0.59742,0.79052,0.42482,0.87508,0.000976293,0.000976293,0.000976293
34,2904.2,0.74051,0.40983,0.85218,0.90817,0.88398,0.88401,0.58907,0.76608,0.40388,0.87153,0.000962146,0.000962146,0.000962146
35,2987.52,0.73048,0.38838,0.84878,0.93553,0.84417,0.87168,0.55561,0.82438,0.4381,0.88891,0.000947999,0.000947999,0.000947999
36,3071.36,0.76452,0.42407,0.85806,0.94847,0.87562,0.89212,0.60041,0.75819,0.41076,0.87271,0.000933851,0.000933851,0.000933851
37,3155,0.74109,0.41914,0.85566,0.91607,0.87153,0.87929,0.60187,0.74242,0.40992,0.8674,0.000919704,0.000919704,0.000919704
38,3238.61,0.76047,0.40506,0.85447,0.85123,0.83207,0.84095,0.5609,0.7618,0.41831,0.86975,0.000905557,0.000905557,0.000905557
39,3327.59,0.76516,0.42624,0.85505,0.95823,0.88068,0.88648,0.59709,0.75879,0.40947,0.86825,0.00089141,0.00089141,0.00089141
40,3414.18,0.74929,0.4005,0.85297,0.93711,0.84615,0.87297,0.60119,0.75751,0.39868,0.87459,0.000877263,0.000877263,0.000877263
41,3497.66,0.74161,0.38561,0.84691,0.95503,0.8915,0.90203,0.61034,0.75885,0.39095,0.87419,0.000863116,0.000863116,0.000863116
42,3581.14,0.75439,0.38995,0.85257,0.93431,0.87594,0.88906,0.58553,0.75292,0.39271,0.8725,0.000848969,0.000848969,0.000848969
43,3664.93,0.72442,0.38848,0.84597,0.93977,0.88398,0.89788,0.61045,0.75054,0.40608,0.8687,0.000834822,0.000834822,0.000834822
44,3748.79,0.74977,0.39789,0.84949,0.92785,0.84044,0.84818,0.55463,0.78552,0.42032,0.88416,0.000820675,0.000820675,0.000820675
45,3831.99,0.75318,0.409,0.85434,0.94286,0.85414,0.88271,0.59856,0.751,0.40298,0.86953,0.000806528,0.000806528,0.000806528
46,3915.3,0.73222,0.39898,0.84575,0.94632,0.87275,0.88512,0.59381,0.78247,0.39111,0.8735,0.00079238,0.00079238,0.00079238
47,3998.75,0.74066,0.39262,0.84811,0.90117,0.87393,0.87318,0.57081,0.76604,0.42525,0.8786,0.000778233,0.000778233,0.000778233
48,4082.17,0.74058,0.38009,0.84932,0.89148,0.86101,0.87918,0.60118,0.76701,0.39831,0.86725,0.000764086,0.000764086,0.000764086
49,4165.42,0.73845,0.38064,0.84786,0.95101,0.81166,0.84849,0.58424,0.74763,0.40337,0.8666,0.000749939,0.000749939,0.000749939
50,4255.14,0.72809,0.38982,0.84471,0.95702,0.88526,0.89327,0.58628,0.75477,0.38788,0.8674,0.000735792,0.000735792,0.000735792
51,4340.04,0.71831,0.37628,0.84354,0.90695,0.86317,0.86621,0.59655,0.74543,0.38031,0.86884,0.000721645,0.000721645,0.000721645
52,4423.17,0.72151,0.37173,0.84735,0.9549,0.86637,0.89646,0.61078,0.72585,0.37012,0.86217,0.000707498,0.000707498,0.000707498
53,4506.46,0.73389,0.38142,0.85086,0.92104,0.8702,0.88047,0.60313,0.74688,0.38698,0.86464,0.000693351,0.000693351,0.000693351
54,4590.03,0.72583,0.36855,0.84689,0.94726,0.87487,0.88293,0.59001,0.74648,0.37986,0.8734,0.000679204,0.000679204,0.000679204
55,4673.73,0.72258,0.37181,0.84193,0.8961,0.87912,0.88571,0.61013,0.74524,0.3843,0.86489,0.000665057,0.000665057,0.000665057
56,4758.28,0.72777,0.38686,0.84811,0.94929,0.85524,0.8736,0.58587,0.76229,0.3913,0.87013,0.000650909,0.000650909,0.000650909
57,4841.51,0.7152,0.36946,0.84117,0.92626,0.86074,0.87548,0.60464,0.76849,0.39167,0.8742,0.000636762,0.000636762,0.000636762
58,4925.3,0.70811,0.35702,0.84449,0.94622,0.86665,0.88424,0.61004,0.72396,0.36842,0.8617,0.000622615,0.000622615,0.000622615
59,5009.15,0.73872,0.38233,0.84959,0.95226,0.87594,0.88321,0.61664,0.72677,0.36918,0.86305,0.000608468,0.000608468,0.000608468
60,5092.59,0.71846,0.37706,0.84713,0.94865,0.88587,0.89469,0.6148,0.74741,0.37423,0.86623,0.000594321,0.000594321,0.000594321
61,5177.23,0.71577,0.36278,0.84367,0.94831,0.88898,0.89402,0.60778,0.73543,0.36766,0.86441,0.000580174,0.000580174,0.000580174
62,5260.99,0.72498,0.36166,0.84255,0.95109,0.86253,0.89649,0.62572,0.7352,0.36018,0.86255,0.000566027,0.000566027,0.000566027
63,5344.56,0.72829,0.36708,0.84535,0.94055,0.87767,0.89703,0.6311,0.71322,0.3509,0.85719,0.00055188,0.00055188,0.00055188
64,5429.24,0.70766,0.36001,0.84321,0.97658,0.88325,0.90272,0.63593,0.72199,0.35917,0.85877,0.000537733,0.000537733,0.000537733
65,5512.7,0.70671,0.36568,0.84429,0.91195,0.8951,0.90185,0.61883,0.7332,0.36086,0.86546,0.000523586,0.000523586,0.000523586
66,5596.54,0.72039,0.35779,0.84418,0.95965,0.87608,0.89752,0.62334,0.72173,0.36251,0.86217,0.000509438,0.000509438,0.000509438
67,5679.83,0.70665,0.35177,0.83913,0.95032,0.89039,0.91072,0.6164,0.73015,0.35196,0.86397,0.000495291,0.000495291,0.000495291
68,5763.45,0.68634,0.3468,0.83471,0.93658,0.8313,0.85754,0.60251,0.72374,0.36657,0.86202,0.000481144,0.000481144,0.000481144
69,5846.64,0.70748,0.36024,0.84248,0.95561,0.88721,0.90349,0.62465,0.71157,0.35223,0.85533,0.000466997,0.000466997,0.000466997
70,5930.14,0.70424,0.34229,0.83642,0.9682,0.88144,0.90642,0.61813,0.72059,0.35819,0.86075,0.00045285,0.00045285,0.00045285
71,6016.5,0.68806,0.34136,0.83657,0.94889,0.8991,0.91388,0.63105,0.72647,0.3512,0.8588,0.000438703,0.000438703,0.000438703
