epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.115,1.13868,1.90629,0.95476,0.01345,0.58256,0.52179,0.33816,0.95222,2.89655,0.92259,0.000467673,0.000467673,0.000467673
2,195.266,0.9743,0.89665,0.9101,0.95733,0.48208,0.61299,0.3722,1.03954,1.79399,0.95591,0.00093466,0.00093466,0.00093466
3,289.817,0.94575,0.78996,0.89875,0.84804,0.63783,0.69068,0.44949,0.9316,0.82974,0.9171,0.00139222,0.00139222,0.00139222
4,384.802,0.94915,0.75972,0.90157,0.76039,0.67807,0.68838,0.43225,0.93547,0.76232,0.92463,0.00138656,0.00138656,0.00138656
5,481.924,0.88334,0.65453,0.8792,0.79978,0.70161,0.70346,0.45959,0.90988,0.68822,0.90399,0.00137241,0.00137241,0.00137241
6,576.336,0.88455,0.63696,0.88179,0.85944,0.72895,0.76739,0.49121,0.87512,0.7253,0.89668,0.00135826,0.00135826,0.00135826
7,669.003,0.891,0.61947,0.88721,0.8284,0.72311,0.75508,0.46337,0.88355,0.63561,0.90284,0.00134412,0.00134412,0.00134412
8,761.486,0.89178,0.59462,0.88846,0.88466,0.76591,0.79596,0.47362,0.87116,0.56682,0.8938,0.00132997,0.00132997,0.00132997
9,853.628,0.87905,0.57852,0.8779,0.80025,0.74387,0.79246,0.51166,0.82739,0.57672,0.8845,0.00131582,0.00131582,0.00131582
10,946.069,0.85039,0.54576,0.877,0.80188,0.76486,0.7727,0.47997,0.8571,0.56949,0.90304,0.00130168,0.00130168,0.00130168
11,1038.65,0.81385,0.5293,0.86438,0.80286,0.80506,0.77307,0.4876,0.87723,0.57106,0.89437,0.00128753,0.00128753,0.00128753
12,1130.78,0.83914,0.51605,0.87065,0.85753,0.80692,0.81418,0.51929,0.8206,0.49621,0.8815,0.00127338,0.00127338,0.00127338
13,1223.22,0.88636,0.53052,0.88109,0.86885,0.80383,0.82102,0.50831,0.8488,0.51775,0.88856,0.00125923,0.00125923,0.00125923
14,1319.71,0.82634,0.50151,0.86874,0.88579,0.82962,0.83935,0.54232,0.80416,0.49256,0.87958,0.00124509,0.00124509,0.00124509
15,1416.4,0.80959,0.50249,0.86208,0.92657,0.83917,0.86704,0.54901,0.78329,0.48025,0.87007,0.00123094,0.00123094,0.00123094
16,1511.32,0.82109,0.4849,0.86393,0.86635,0.81211,0.84491,0.5428,0.81038,0.47947,0.87551,0.00121679,0.00121679,0.00121679
17,1604.12,0.81138,0.49271,0.85918,0.8944,0.83843,0.83854,0.53939,0.78798,0.50553,0.87725,0.00120265,0.00120265,0.00120265
18,1696.29,0.82213,0.4825,0.86616,0.88048,0.84733,0.85852,0.5511,0.79965,0.46719,0.87571,0.0011885,0.0011885,0.0011885
19,1788.73,0.80652,0.47049,0.8644,0.90417,0.82384,0.86078,0.56075,0.76589,0.46008,0.86867,0.00117435,0.00117435,0.00117435
20,1881.07,0.80067,0.46194,0.86446,0.86109,0.84381,0.85467,0.55044,0.79648,0.45618,0.87545,0.00116021,0.00116021,0.00116021
21,1973.73,0.80155,0.44757,0.86468,0.89635,0.84906,0.85357,0.558,0.78895,0.43905,0.87,0.00114606,0.00114606,0.00114606
22,2066.38,0.80457,0.45442,0.85875,0.93889,0.86054,0.89191,0.59373,0.77065,0.42215,0.87221,0.00113191,0.00113191,0.00113191
23,2159.55,0.78582,0.42719,0.85768,0.90551,0.85637,0.87307,0.57427,0.79147,0.4333,0.87101,0.00111776,0.00111776,0.00111776
24,2261.32,0.78958,0.4319,0.85388,0.94526,0.87268,0.88817,0.58787,0.77842,0.415,0.87378,0.00110362,0.00110362,0.00110362
25,2357.22,0.77565,0.42461,0.84888,0.9285,0.84409,0.87141,0.56981,0.7581,0.41145,0.86599,0.00108947,0.00108947,0.00108947
26,2450.12,0.79267,0.42723,0.85727,0.90498,0.86306,0.86971,0.56084,0.81042,0.43576,0.88227,0.00107532,0.00107532,0.00107532
27,2542.39,0.77203,0.41772,0.85253,0.9055,0.85582,0.86272,0.56227,0.77911,0.41174,0.87023,0.00106118,0.00106118,0.00106118
28,2634.93,0.7772,0.4195,0.85752,0.90486,0.84596,0.87575,0.56876,0.78607,0.42705,0.87274,0.00104703,0.00104703,0.00104703
29,2727.96,0.77446,0.42024,0.85574,0.94968,0.86896,0.88871,0.59388,0.75889,0.39936,0.86949,0.00103288,0.00103288,0.00103288
30,2820.12,0.77974,0.41947,0.85514,0.92149,0.87336,0.87276,0.58364,0.74701,0.39635,0.86667,0.00101873,0.00101873,0.00101873
31,2912.39,0.77913,0.42364,0.85532,0.91555,0.83614,0.86065,0.56384,0.83896,0.41255,0.88313,0.00100459,0.00100459,0.00100459
32,3004.7,0.77309,0.41103,0.85667,0.86345,0.8749,0.87918,0.59258,0.76679,0.40254,0.86869,0.00099044,0.00099044,0.00099044
33,3099.14,0.76171,0.41792,0.85032,0.87352,0.87245,0.88521,0.60729,0.7439,0.40678,0.86544,0.000976293,0.000976293,0.000976293
34,3197.8,0.73667,0.41443,0.84845,0.90017,0.89643,0.9063,0.60298,0.77177,0.38834,0.87054,0.000962146,0.000962146,0.000962146
35,3293.42,0.75837,0.416,0.85261,0.93604,0.88211,0.903,0.58861,0.79227,0.4119,0.87365,0.000947999,0.000947999,0.000947999
36,3385.8,0.78282,0.41957,0.85616,0.91746,0.85037,0.87972,0.58744,0.77114,0.39791,0.86954,0.000933851,0.000933851,0.000933851
37,3478.61,0.75703,0.40033,0.85186,0.94179,0.86477,0.89334,0.59188,0.75177,0.38643,0.86708,0.000919704,0.000919704,0.000919704
38,3570.84,0.7595,0.40374,0.85233,0.90416,0.89678,0.89738,0.59861,0.76789,0.38813,0.87073,0.000905557,0.000905557,0.000905557
39,3664.73,0.76055,0.39931,0.84678,0.86278,0.89141,0.89326,0.60044,0.7474,0.38311,0.86719,0.00089141,0.00089141,0.00089141
40,3757.37,0.75669,0.39437,0.85043,0.93965,0.89627,0.90223,0.59363,0.76863,0.39769,0.87034,0.000877263,0.000877263,0.000877263
41,3850.42,0.75362,0.39592,0.85164,0.88424,0.83639,0.86371,0.5803,0.77821,0.39179,0.87171,0.000863116,0.000863116,0.000863116
42,3945.68,0.75405,0.38529,0.8515,0.9407,0.87934,0.90816,0.60503,0.77452,0.39069,0.87291,0.000848969,0.000848969,0.000848969
43,4053.49,0.74956,0.40501,0.846,0.95062,0.86601,0.89017,0.59568,0.75075,0.38367,0.86476,0.000834822,0.000834822,0.000834822
44,4155.65,0.7578,0.39705,0.84995,0.96282,0.86367,0.9035,0.60446,0.7438,0.37829,0.86842,0.000820675,0.000820675,0.000820675
45,4255.04,0.73065,0.38797,0.84708,0.96584,0.88728,0.90186,0.59939,0.74698,0.37669,0.8685,0.000806528,0.000806528,0.000806528
46,4351.27,0.7498,0.38631,0.84605,0.94838,0.89482,0.89981,0.60702,0.76526,0.3709,0.86835,0.00079238,0.00079238,0.00079238
47,4449.32,0.74168,0.38946,0.84818,0.93996,0.87808,0.89129,0.60688,0.74679,0.37075,0.86427,0.000778233,0.000778233,0.000778233
48,4545.39,0.72902,0.37249,0.84735,0.95592,0.88865,0.89561,0.59633,0.77484,0.37071,0.86916,0.000764086,0.000764086,0.000764086
49,4640.62,0.73613,0.38046,0.84781,0.95797,0.86952,0.89711,0.59782,0.75644,0.38033,0.86692,0.000749939,0.000749939,0.000749939
50,4733.21,0.74148,0.3757,0.85043,0.94259,0.8844,0.89976,0.6011,0.73794,0.36765,0.86484,0.000735792,0.000735792,0.000735792
51,4825.24,0.73369,0.3758,0.8426,0.94876,0.87225,0.88056,0.61141,0.74242,0.35856,0.86407,0.000721645,0.000721645,0.000721645
52,4920.11,0.72696,0.38254,0.8464,0.9287,0.88003,0.88175,0.6046,0.74134,0.36071,0.8637,0.000707498,0.000707498,0.000707498
53,5018.78,0.72572,0.37809,0.83984,0.95164,0.8962,0.90658,0.60778,0.7331,0.36058,0.86436,0.000693351,0.000693351,0.000693351
54,5112.81,0.73028,0.37547,0.84628,0.95463,0.88304,0.90646,0.61055,0.76773,0.37099,0.87199,0.000679204,0.000679204,0.000679204
55,5205.85,0.76383,0.4098,0.84997,0.95559,0.88293,0.89718,0.60917,0.72528,0.36978,0.85992,0.000665057,0.000665057,0.000665057
56,5297.86,0.75029,0.39125,0.84595,0.91785,0.88796,0.9021,0.60356,0.74138,0.37021,0.86423,0.000650909,0.000650909,0.000650909
57,5391.96,0.70782,0.36397,0.84109,0.95746,0.87601,0.90473,0.59418,0.76581,0.36776,0.87054,0.000636762,0.000636762,0.000636762
58,5484.96,0.72258,0.36373,0.84462,0.97498,0.86458,0.9035,0.61826,0.73934,0.35547,0.86576,0.000622615,0.000622615,0.000622615
59,5577.6,0.7218,0.36754,0.84355,0.93662,0.89507,0.91537,0.62689,0.73693,0.36299,0.86153,0.000608468,0.000608468,0.000608468
60,5671.4,0.72526,0.37111,0.84959,0.949,0.88364,0.89687,0.59968,0.73844,0.35948,0.86175,0.000594321,0.000594321,0.000594321
61,5764.19,0.7253,0.36782,0.84141,0.97105,0.90328,0.91714,0.61966,0.73305,0.3538,0.86107,0.000580174,0.000580174,0.000580174
62,5865.26,0.71381,0.37096,0.83944,0.95725,0.8815,0.90728,0.61886,0.72179,0.35348,0.85838,0.000566027,0.000566027,0.000566027
63,5962.99,0.70257,0.35921,0.83771,0.94665,0.88997,0.90419,0.61381,0.72938,0.35284,0.85739,0.00055188,0.00055188,0.00055188
64,6055.63,0.71985,0.36405,0.84661,0.96443,0.89697,0.91649,0.61752,0.71945,0.3556,0.85759,0.000537733,0.000537733,0.000537733
65,6151.25,0.70051,0.36113,0.84046,0.94341,0.88332,0.89181,0.61667,0.73245,0.3588,0.85878,0.000523586,0.000523586,0.000523586
66,6244.24,0.71299,0.37173,0.84265,0.95233,0.8907,0.89855,0.62409,0.71348,0.35033,0.85499,0.000509438,0.000509438,0.000509438
67,6336.7,0.71866,0.35609,0.8411,0.96132,0.89117,0.9054,0.62411,0.71863,0.34347,0.85716,0.000495291,0.000495291,0.000495291
68,6429.11,0.69844,0.34879,0.83908,0.96001,0.89637,0.9092,0.61986,0.73123,0.34302,0.85975,0.000481144,0.000481144,0.000481144
69,6528.64,0.69353,0.3429,0.84165,0.96826,0.87445,0.8811,0.60176,0.72519,0.35404,0.86299,0.000466997,0.000466997,0.000466997
70,6627.97,0.70161,0.34609,0.83957,0.96256,0.9046,0.91478,0.62802,0.73241,0.34282,0.85888,0.00045285,0.00045285,0.00045285
71,6730.47,0.70075,0.35656,0.84018,0.95665,0.89433,0.90753,0.60671,0.7394,0.36038,0.86497,0.000438703,0.000438703,0.000438703
72,6836.46,0.69497,0.35042,0.84033,0.9623,0.90311,0.91359,0.62143,0.73012,0.33959,0.86138,0.000424556,0.000424556,0.000424556
73,6938.23,0.68963,0.33931,0.84097,0.96002,0.88599,0.90877,0.61814,0.7288,0.35417,0.86044,0.000410409,0.000410409,0.000410409
74,7036.57,0.68783,0.33926,0.84015,0.9507,0.86907,0.89853,0.6148,0.73534,0.34501,0.86304,0.000396262,0.000396262,0.000396262
75,7136.07,0.69573,0.34503,0.83975,0.96063,0.90151,0.91652,0.62494,0.71575,0.32981,0.8578,0.000382115,0.000382115,0.000382115
76,7236.01,0.68976,0.33689,0.83945,0.97088,0.90913,0.91779,0.63157,0.71491,0.33372,0.85698,0.000367967,0.000367967,0.000367967
77,7335.59,0.67917,0.335,0.83562,0.96093,0.90411,0.91331,0.62254,0.7172,0.33468,0.85631,0.00035382,0.00035382,0.00035382
