epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.8525,1.21024,2.14514,0.97517,1,0.05493,0.27387,0.19365,1.17503,3.09105,0.96183,0.00046412,0.00046412,0.00046412
2,144.711,1.03547,0.9634,0.92584,1,0.14987,0.59339,0.32645,1.05755,2.44367,0.95427,0.000931143,0.000931143,0.000931143
3,212.329,1.03874,0.87072,0.9179,0.98399,0.65033,0.69201,0.41417,1.09753,1.19109,0.98219,0.00138873,0.00138873,0.00138873
4,287.908,0.98961,0.78191,0.91256,0.94344,0.67905,0.71912,0.45552,1.00497,0.93718,0.95183,0.00138656,0.00138656,0.00138656
5,357.246,0.94774,0.70879,0.89307,0.8022,0.70855,0.73096,0.45821,0.95823,0.78235,0.93219,0.00137241,0.00137241,0.00137241
6,424.073,0.93173,0.73087,0.89788,0.81879,0.73927,0.76435,0.48564,0.92422,0.81192,0.92788,0.00135826,0.00135826,0.00135826
7,626.35,0.91945,0.64565,0.89044,0.80191,0.7341,0.72148,0.46317,0.94786,0.74146,0.92326,0.00134412,0.00134412,0.00134412
8,843.451,0.90454,0.64494,0.89269,0.88041,0.74102,0.78061,0.51263,0.90961,0.69963,0.90644,0.00132997,0.00132997,0.00132997
9,1007.73,0.88822,0.62387,0.88541,0.80917,0.77176,0.79967,0.5163,0.97448,0.67271,0.92675,0.00131582,0.00131582,0.00131582
10,1073.52,0.88261,0.5872,0.88283,0.88921,0.81244,0.83529,0.52309,0.95992,0.64534,0.92048,0.00130168,0.00130168,0.00130168
11,1139.68,0.85509,0.55734,0.87175,0.86487,0.82657,0.82137,0.54117,0.85422,0.62834,0.89654,0.00128753,0.00128753,0.00128753
12,1205.9,0.85543,0.54152,0.87308,0.87741,0.77992,0.82389,0.54247,0.87568,0.57797,0.89989,0.00127338,0.00127338,0.00127338
13,1273.25,0.89538,0.53727,0.8791,0.85948,0.77938,0.79274,0.49293,0.90315,0.59112,0.90944,0.00125923,0.00125923,0.00125923
14,1339.78,0.87747,0.52567,0.88007,0.86652,0.78735,0.80844,0.53125,0.90032,0.56868,0.90593,0.00124509,0.00124509,0.00124509
15,1406.02,0.89269,0.52865,0.88269,0.90748,0.83407,0.84551,0.53772,0.9003,0.55354,0.90527,0.00123094,0.00123094,0.00123094
16,1472.26,0.85339,0.50179,0.87181,0.86357,0.81515,0.82807,0.54426,0.85725,0.52641,0.89939,0.00121679,0.00121679,0.00121679
17,1538.02,0.86338,0.50123,0.87434,0.88086,0.80534,0.8188,0.51886,0.87008,0.54492,0.90333,0.00120265,0.00120265,0.00120265
18,1603.5,0.83791,0.48829,0.86875,0.92643,0.84062,0.85147,0.56095,0.83074,0.52196,0.88529,0.0011885,0.0011885,0.0011885
19,1669.24,0.86166,0.48826,0.87526,0.8225,0.82513,0.81281,0.55212,0.82638,0.49935,0.88534,0.00117435,0.00117435,0.00117435
20,1735.63,0.84216,0.47555,0.86781,0.94247,0.85774,0.86809,0.54298,0.84958,0.51514,0.88377,0.00116021,0.00116021,0.00116021
21,1801.37,0.84155,0.47215,0.87257,0.90235,0.79099,0.82452,0.53794,0.94103,0.52387,0.91354,0.00114606,0.00114606,0.00114606
22,1865.25,0.8289,0.4527,0.86661,0.92631,0.78185,0.83416,0.56405,0.85659,0.49595,0.89315,0.00113191,0.00113191,0.00113191
23,1935.64,0.84136,0.46636,0.86769,0.91228,0.85614,0.85558,0.57129,0.82638,0.47121,0.88962,0.00111776,0.00111776,0.00111776
24,2008.09,0.87292,0.4755,0.8752,0.90808,0.80505,0.82819,0.5561,0.88895,0.48396,0.90083,0.00110362,0.00110362,0.00110362
25,2077.62,0.78413,0.43751,0.85463,0.87671,0.86361,0.88672,0.57493,0.84591,0.47137,0.88772,0.00108947,0.00108947,0.00108947
26,2142.79,0.82148,0.44027,0.87168,0.88134,0.84869,0.83716,0.54365,0.87245,0.47582,0.89556,0.00107532,0.00107532,0.00107532
27,2207.21,0.80961,0.43753,0.86034,0.85932,0.82916,0.82633,0.56441,0.84674,0.47402,0.89228,0.00106118,0.00106118,0.00106118
28,2270.93,0.83098,0.44271,0.86858,0.95673,0.77057,0.83442,0.54237,0.85048,0.50443,0.89528,0.00104703,0.00104703,0.00104703
29,2337.58,0.81089,0.43566,0.86305,0.86555,0.85363,0.85684,0.58741,0.81551,0.45788,0.87973,0.00103288,0.00103288,0.00103288
30,2403.53,0.82281,0.44104,0.86544,0.94317,0.85172,0.87086,0.58446,0.82655,0.45607,0.8865,0.00101873,0.00101873,0.00101873
31,2468,0.78829,0.43939,0.85993,0.83215,0.8067,0.81872,0.56102,0.81225,0.45756,0.88528,0.00100459,0.00100459,0.00100459
