epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.7585,1.19951,2.16537,0.97591,0.009,0.38959,0.27999,0.20988,1.06503,3.16642,0.94483,0.000464715,0.000464715,0.000464715
2,199.957,1.04586,0.95227,0.94338,1,0.13589,0.65966,0.41879,1.0971,2.45863,0.95635,0.000931732,0.000931732,0.000931732
3,262.19,1.05581,0.98029,0.94116,0.79162,0.56377,0.53496,0.33247,1.05507,1.42391,0.97346,0.00138932,0.00138932,0.00138932
4,324.842,1.00523,0.81891,0.92856,0.95152,0.60853,0.6799,0.441,0.95056,0.94623,0.96161,0.00138656,0.00138656,0.00138656
5,388.249,0.91779,0.72342,0.91923,0.8157,0.69457,0.69547,0.4499,0.98413,0.75563,0.95333,0.00137241,0.00137241,0.00137241
6,452.715,0.96616,0.70022,0.91361,0.84041,0.74036,0.75984,0.4847,0.92974,0.76879,0.92687,0.00135826,0.00135826,0.00135826
7,517.771,0.88341,0.6475,0.89215,0.81316,0.65499,0.69403,0.44761,0.88337,0.78171,0.92423,0.00134412,0.00134412,0.00134412
8,582.755,0.8827,0.69251,0.88954,0.84289,0.75604,0.78048,0.49497,0.87501,0.64288,0.91015,0.00132997,0.00132997,0.00132997
9,648.291,0.92992,0.65986,0.89757,0.85139,0.71221,0.73089,0.48967,0.92478,0.69473,0.93697,0.00131582,0.00131582,0.00131582
10,713.823,0.87784,0.6008,0.89919,0.86008,0.78093,0.78921,0.50855,0.85412,0.6216,0.92109,0.00130168,0.00130168,0.00130168
11,779.531,0.88735,0.57317,0.89736,0.85697,0.81295,0.80918,0.52093,0.83023,0.62986,0.90326,0.00128753,0.00128753,0.00128753
12,845.131,0.88603,0.56054,0.89914,0.80806,0.82118,0.82469,0.52531,0.85512,0.59605,0.91447,0.00127338,0.00127338,0.00127338
13,910.763,0.83743,0.56168,0.86807,0.81065,0.8186,0.81276,0.50767,0.87718,0.58617,0.91589,0.00125923,0.00125923,0.00125923
14,976.125,0.8484,0.51313,0.88342,0.81804,0.81258,0.82606,0.54338,0.81368,0.56108,0.90245,0.00124509,0.00124509,0.00124509
15,1041.55,0.8399,0.54583,0.86863,0.91869,0.84289,0.84488,0.55095,0.84886,0.5501,0.90384,0.00123094,0.00123094,0.00123094
16,1107.92,0.84604,0.50815,0.88536,0.9184,0.85009,0.86345,0.52728,0.92144,0.55021,0.93067,0.00121679,0.00121679,0.00121679
17,1174.17,0.85213,0.49703,0.88448,0.93631,0.85219,0.84081,0.54337,0.85238,0.51778,0.9131,0.00120265,0.00120265,0.00120265
18,1239.97,0.8377,0.48714,0.88798,0.82561,0.83535,0.80369,0.52884,0.83932,0.54162,0.90573,0.0011885,0.0011885,0.0011885
19,1307.83,0.84775,0.49487,0.88018,0.84384,0.8677,0.84939,0.55488,0.82355,0.50461,0.90424,0.00117435,0.00117435,0.00117435
20,1385.9,0.84595,0.48038,0.8901,0.92097,0.82375,0.85203,0.52494,0.92303,0.5498,0.92443,0.00116021,0.00116021,0.00116021
21,1463.46,0.83617,0.4709,0.88553,0.91661,0.84854,0.86215,0.54278,0.87124,0.51639,0.91737,0.00114606,0.00114606,0.00114606
22,1538.47,0.80832,0.44887,0.87654,0.86109,0.8465,0.87402,0.5629,0.84105,0.50305,0.90464,0.00113191,0.00113191,0.00113191
23,1611.64,0.85837,0.46427,0.88331,0.88228,0.82894,0.8171,0.52634,0.88901,0.50219,0.91906,0.00111776,0.00111776,0.00111776
24,1677.05,0.81428,0.45004,0.87866,0.92412,0.81005,0.84283,0.54723,0.81516,0.47585,0.89747,0.00110362,0.00110362,0.00110362
25,1742.63,0.80811,0.44573,0.87629,0.80726,0.79793,0.8275,0.56539,0.80826,0.49703,0.89783,0.00108947,0.00108947,0.00108947
26,1808.07,0.79334,0.4422,0.87298,0.8967,0.84314,0.86046,0.58572,0.80845,0.46189,0.88859,0.00107532,0.00107532,0.00107532
27,1874.4,0.81951,0.44819,0.88048,0.89147,0.84961,0.87154,0.58307,0.81505,0.46222,0.8962,0.00106118,0.00106118,0.00106118
28,1940.36,0.83721,0.45201,0.88277,0.93476,0.8677,0.88594,0.58261,0.80004,0.46121,0.89492,0.00104703,0.00104703,0.00104703
29,2006.03,0.79964,0.42875,0.87645,0.96631,0.84648,0.87169,0.57316,0.84163,0.48157,0.90565,0.00103288,0.00103288,0.00103288
30,2071.47,0.80508,0.42855,0.8743,0.91313,0.80646,0.837,0.53618,0.86034,0.5019,0.91108,0.00101873,0.00101873,0.00101873
31,2136.86,0.82276,0.43783,0.88414,0.94881,0.86871,0.88504,0.57449,0.83474,0.44853,0.90004,0.00100459,0.00100459,0.00100459
32,2203.11,0.79432,0.42945,0.87275,0.96173,0.86133,0.89323,0.59548,0.8194,0.44534,0.89771,0.00099044,0.00099044,0.00099044
33,2271.26,0.78061,0.42739,0.87103,0.96588,0.80427,0.85766,0.56822,0.81553,0.44929,0.90005,0.000976293,0.000976293,0.000976293
