epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.753,1.32271,2.32177,1.00872,1,0.02531,0.2902,0.18121,1.19485,3.02286,0.96822,0.000328042,0.000328042,0.000328042
2,267.627,1.10285,1.04803,0.9351,0.74864,0.32585,0.42441,0.24426,1.09907,1.58081,0.94962,0.000654828,0.000654828,0.000654828
3,397.602,1.07458,0.93169,0.91689,0.67929,0.67384,0.70077,0.37639,0.99165,0.89121,0.92064,0.000975014,0.000975014,0.000975014
4,514.925,1.03035,0.82967,0.90956,0.62983,0.63257,0.69335,0.38935,1.01094,0.96283,0.91688,0.0009703,0.0009703,0.0009703
